network,method,algorithm_variant,M,T,stage2_fixed_depots,technician_allocation,system_reliability,stage2_runtime_seconds
3_lines_80_stations,heuristic,heuristic,5,30,"[13,22,36,44,53]","[7,8,6,6,3]",0.944933323,0.07
3_lines_80_stations,exact,exact,5,30,"[13,22,36,44,53]","[7,8,6,6,3]",0.944933323,0.015
3_lines_80_stations,ea_ra,enumeration,5,40,"[13,22,36,44,53]","[10,9,8,8,5]",0.997973803,44.9459
3_lines_80_stations,heuristic,heuristic,5,40,"[13,22,36,44,53]","[10,9,8,8,5]",0.997973803,0.095
3_lines_80_stations,exact,exact,5,40,"[13,22,36,44,53]","[10,9,8,8,5]",0.997973803,0.018
3_lines_80_stations,ea_ra,enumeration,6,10,"[13,16,22,32,44,53]","[2,2,2,1,2,1]",0.014247845,0.0762
3_lines_80_stations,heuristic,heuristic,6,10,"[13,16,22,32,44,53]","[2,2,2,1,2,1]",0.014247845,0.0191
3_lines_80_stations,exact,exact,6,10,"[13,16,22,32,44,53]","[2,2,2,1,2,1]",0.014247845,0.0114
3_lines_80_stations,ea_ra,enumeration,6,20,"[13,16,22,32,44,53]","[4,4,5,2,3,2]",0.437002699,7.372
3_lines_80_stations,heuristic,heuristic,6,20,"[13,16,22,32,44,53]","[4,4,5,2,3,2]",0.437002699,0.0521
3_lines_80_stations,exact,exact,6,20,"[13,16,22,32,44,53]","[4,4,5,2,3,2]",0.437002699,0.015
3_lines_80_stations,ea_ra,enumeration,6,30,"[13,16,22,32,44,53]","[6,6,7,3,5,3]",0.911026876,85.5388
3_lines_80_stations,heuristic,heuristic,6,30,"[13,16,22,32,44,53]","[6,6,7,3,5,3]",0.911026876,0.0855
3_lines_80_stations,exact,exact,6,30,"[13,16,22,32,44,53]","[6,6,7,3,5,3]",0.911026876,0.015
3_lines_80_stations,ea_ra,enumeration,6,40,"[13,16,22,32,44,53]","[8,7,9,5,7,4]",0.994932441,512.2124
3_lines_80_stations,heuristic,heuristic,6,40,"[13,16,22,32,44,53]","[8,7,9,5,7,4]",0.994932441,0.118
3_lines_80_stations,exact,exact,6,40,"[13,16,22,32,44,53]","[8,7,9,5,7,4]",0.994932441,0.018
3_lines_80_stations,ea_ra,enumeration,7,10,"[13,16,22,31,36,44,53]","[2,1,2,1,1,2,1]",0.009352307,1.5309
3_lines_80_stations,heuristic,heuristic,7,10,"[13,16,22,31,36,44,53]","[2,1,2,1,1,2,1]",0.009352307,0.0182
3_lines_80_stations,exact,exact,7,10,"[13,16,22,31,36,44,53]","[2,1,2,1,1,2,1]",0.009352307,0.009
3_lines_80_stations,ea_ra,enumeration,7,20,"[13,16,22,31,36,44,53]","[4,3,4,2,2,3,2]",0.351852895,25.9456
3_lines_80_stations,heuristic,heuristic,7,20,"[13,16,22,31,36,44,53]","[4,3,4,2,2,3,2]",0.351852895,0.0589
3_lines_80_stations,exact,exact,7,20,"[13,16,22,31,36,44,53]","[4,3,4,2,2,3,2]",0.351852895,0.015
3_lines_80_stations,ea_ra,enumeration,7,30,"[13,16,22,31,36,44,53]","[5,5,6,2,4,5,3]",0.862209243,301.3647
